guest_id,guest_account_age_days,guest_past_bookings_count,guest_past_support_tickets_12m,guest_past_refund_requests_12m,guest_lifetime_booking_value,guest_id_verified
G00000,861,6,0,0,1899.06,1
G00001,1295,4,3,1,905.62,1
G00002,1131,1,0,1,4495.81,0
G00003,1096,5,0,0,1300.43,1
G00004,1639,4,1,0,2678.12,1
G00005,2170,3,1,0,2655.49,1
G00006,467,2,0,1,3491.68,1
G00007,1239,12,2,0,2792.18,1
G00008,331,5,1,0,3045.11,1
G00009,1483,10,0,0,607.54,1
G00010,2136,6,3,0,2612.54,1
G00011,2920,1,1,0,997.63,1
G00012,131,6,0,0,2495.04,1
G00013,1686,2,0,1,3748.0,1
G00014,770,4,1,0,2398.67,1
G00015,2392,5,0,0,3081.26,1
G00016,1516,8,1,1,3414.18,1
G00017,2854,4,0,0,3254.79,1
G00018,2434,2,0,0,2490.51,0
G00019,1216,1,0,0,2597.05,0
G00020,956,8,2,0,3675.51,1
G00021,2325,8,0,0,6264.1,1
G00022,1185,4,2,0,1382.78,1
G00023,460,1,1,1,1672.76,1
G00024,22,9,2,0,3281.42,1
G00025,2301,4,1,0,5244.49,0
G00026,748,2,0,1,893.61,1
G00027,2905,4,2,0,1002.68,1
G00028,475,3,1,0,2238.28,0
G00029,1083,8,0,0,1320.0,1
G00030,2559,9,2,0,2419.62,1
G00031,2048,4,3,0,3266.35,1
G00032,2748,4,1,0,2126.78,1
G00033,976,5,0,0,1679.2,1
G00034,1807,11,0,0,3190.48,1
G00035,190,8,1,0,855.72,1
G00036,2735,6,2,0,1476.94,1
G00037,563,2,3,0,2519.61,0
G00038,1900,8,2,2,2708.78,1
G00039,1268,7,1,0,3002.88,1
G00040,2880,6,1,0,1558.32,1
G00041,1529,5,0,0,907.91,1
G00042,647,3,1,0,1341.26,1
G00043,2069,5,1,0,1207.93,1
G00044,2889,3,1,0,1203.67,1
G00045,2215,3,4,0,687.66,1
G00046,1298,7,1,0,1127.8,1
G00047,2436,4,2,1,3561.15,1
G00048,601,4,2,0,1474.98,1
G00049,2364,6,2,0,2840.25,1
G00050,2062,6,0,1,695.74,1
G00051,242,3,1,0,1776.19,1
G00052,2042,4,2,0,1763.49,1
G00053,2825,6,3,1,3221.21,1
G00054,2613,6,1,1,2153.45,0
G00055,2946,6,0,0,1574.92,1
G00056,1364,6,1,1,2768.4,1
G00057,2140,3,0,0,2248.96,1
G00058,1391,5,0,0,1443.89,1
G00059,1479,2,1,1,2754.51,1
G00060,2557,5,0,0,3209.1,1
G00061,776,3,2,0,3562.55,1
G00062,35,3,1,1,1875.48,1
G00063,2254,5,2,0,2579.77,1
G00064,1956,11,1,0,2618.37,1
G00065,1586,7,1,1,840.4,1
G00066,1022,7,1,0,3065.49,1
G00067,2614,4,0,1,2635.35,1
G00068,1130,1,1,0,1423.76,1
G00069,1501,4,1,1,2645.66,1
G00070,703,5,1,0,946.46,1
G00071,2450,4,1,1,2995.22,1
G00072,2778,4,1,0,2288.04,1
G00073,1580,7,2,1,1562.95,1
G00074,162,6,2,0,1011.93,0
G00075,202,8,1,0,1401.7,1
