host_id,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating
H00000,0,0.758,0.039,33.5,2,4.56
H00001,1,0.691,0.055,96.1,1,4.81
H00002,1,0.909,0.057,600.9,2,4.1
H00003,0,0.777,0.025,92.3,0,5.0
H00004,0,0.687,0.071,70.9,3,4.67
H00005,0,0.849,0.034,59.3,4,4.43
H00006,0,0.79,0.024,185.4,5,4.61
H00007,0,0.654,0.003,128.1,1,4.41
H00008,1,0.791,0.023,299.3,1,4.69
H00009,1,0.83,0.123,168.5,5,4.45
H00010,0,0.859,0.015,16.6,7,4.68
H00011,0,0.885,0.056,183.5,2,4.53
H00012,0,0.747,0.243,68.7,2,4.8
H00013,0,0.659,0.096,133.2,4,5.0
H00014,1,0.929,0.042,178.2,3,4.47
H00015,0,0.764,0.024,57.1,0,4.64
H00016,0,0.753,0.167,157.4,2,4.82
H00017,0,0.902,0.128,140.0,1,4.96
H00018,0,0.519,0.108,163.4,2,4.74
H00019,0,0.785,0.016,401.7,0,4.46
H00020,1,0.934,0.101,57.1,2,4.35
H00021,1,0.874,0.241,302.8,3,4.72
H00022,0,0.86,0.065,110.1,2,4.82
H00023,0,0.856,0.116,31.1,4,4.78
H00024,0,0.737,0.028,273.0,3,4.81
H00025,1,0.9,0.069,215.0,3,4.33
H00026,1,0.81,0.041,261.2,1,4.51
H00027,1,0.832,0.025,192.5,1,4.61
H00028,0,0.917,0.035,45.0,1,4.71
H00029,0,0.713,0.045,323.6,0,4.72
H00030,1,0.756,0.027,440.9,4,4.74
H00031,1,0.89,0.052,188.2,7,4.16
H00032,0,0.804,0.183,53.6,2,4.32
H00033,0,0.706,0.027,233.5,3,4.66
H00034,0,0.785,0.047,18.6,2,4.69
H00035,1,0.726,0.041,84.1,2,4.61
H00036,1,0.735,0.028,41.3,2,4.75
H00037,0,0.802,0.163,249.1,3,4.81
H00038,0,0.856,0.064,111.1,0,4.37
H00039,0,0.634,0.108,104.2,2,4.22
H00040,0,0.752,0.172,129.9,2,4.55
H00041,1,0.815,0.051,18.2,3,4.82
H00042,0,0.749,0.018,204.9,1,4.71
H00043,0,0.88,0.135,99.7,4,4.58
H00044,0,0.694,0.194,10.9,2,4.96
H00045,1,0.827,0.029,68.5,0,5.0
H00046,0,0.88,0.014,276.2,2,4.83
H00047,0,0.732,0.057,157.1,1,5.0
H00048,0,0.897,0.048,184.2,1,4.27
H00049,1,0.833,0.121,180.3,0,4.68
H00050,0,0.787,0.075,139.8,0,4.52
H00051,1,0.63,0.11,107.4,9,4.82
H00052,0,0.934,0.169,163.3,0,4.34
H00053,0,0.706,0.078,102.5,0,4.64
H00054,0,0.705,0.059,195.3,1,4.49
H00055,0,0.862,0.045,107.6,2,4.85
H00056,1,0.721,0.031,66.8,2,4.53
H00057,0,0.608,0.045,109.7,1,4.26
H00058,1,0.748,0.138,47.7,5,4.77
H00059,0,0.772,0.1,199.1,3,4.87
H00060,0,0.532,0.047,117.5,1,4.43
H00061,1,0.92,0.098,165.8,2,4.82
H00062,1,0.847,0.025,241.5,2,4.68
H00063,1,0.807,0.033,83.6,4,4.67
H00064,1,0.832,0.069,119.2,4,4.11
H00065,1,0.87,0.016,467.0,4,4.94
H00066,0,0.763,0.171,330.8,1,4.74
H00067,0,0.87,0.012,19.4,2,4.72
H00068,0,0.775,0.072,99.7,0,4.75
H00069,1,0.655,0.081,129.3,0,4.71
H00070,0,0.864,0.062,157.2,2,5.0
H00071,0,0.829,0.018,95.4,0,4.93
H00072,1,0.776,0.087,169.1,1,4.54
