listing_id,host_id,market,property_type,nightly_price,listing_review_score,listing_cleanliness_score,listing_accuracy_score,listing_review_count,cancellation_policy,instant_book_enabled
L00000,H00960,Seattle,entire_home,48.33,4.07,4.73,4.54,31,flexible,0
L00001,H01268,Chicago,entire_home,146.57,4.61,4.31,4.31,6,strict,1
L00002,H01205,Los Angeles,private_room,292.02,5.0,4.42,4.56,5,flexible,1
L00003,H00701,Denver,entire_home,257.74,3.93,5.0,4.75,11,moderate,1
L00004,H01363,San Francisco,entire_home,139.52,5.0,4.59,4.98,17,flexible,0
L00005,H01291,Boston,entire_home,374.7,5.0,4.94,4.53,18,moderate,1
L00006,H00479,Denver,entire_home,114.1,4.61,4.4,4.57,13,flexible,1
L00007,H00806,Seattle,private_room,398.3,4.18,4.17,4.8,21,strict,0
L00008,H00841,Los Angeles,entire_home,130.02,4.8,4.2,4.23,14,strict,1
L00009,H00661,Seattle,entire_home,138.24,3.98,3.62,4.98,5,flexible,0
L00010,H00251,New York,private_room,70.11,4.21,4.29,4.05,12,strict,1
L00011,H00744,Seattle,entire_home,139.22,4.76,5.0,4.25,23,moderate,0
L00012,H01229,Denver,entire_home,200.89,4.63,4.58,4.85,9,flexible,1
L00013,H01052,Austin,entire_home,150.23,4.27,4.35,4.61,13,flexible,0
L00014,H00133,Nashville,entire_home,80.09,4.78,4.11,4.08,26,flexible,0
L00015,H00046,Denver,entire_home,182.45,4.67,4.7,5.0,5,flexible,1
L00016,H00745,San Francisco,entire_home,165.84,4.4,4.68,4.98,11,moderate,1
L00017,H00614,New York,entire_home,169.8,4.45,4.68,3.94,15,flexible,1
L00018,H01462,Austin,entire_home,230.41,4.49,4.29,4.72,16,flexible,0
L00019,H01013,Nashville,entire_home,164.94,3.75,4.35,4.08,10,strict,1
L00020,H00245,Austin,entire_home,177.3,4.82,4.49,4.88,22,moderate,0
L00021,H00408,Austin,hotel_room,322.05,4.73,4.01,4.99,4,strict,0
L00022,H00684,New York,private_room,122.8,4.41,4.9,4.61,14,flexible,0
L00023,H01159,Denver,entire_home,245.48,4.57,4.08,4.41,11,flexible,1
L00024,H00504,Boston,private_room,174.6,4.46,5.0,4.2,5,flexible,1
L00025,H01408,Denver,private_room,126.8,4.91,4.59,4.54,29,strict,1
L00026,H01477,Los Angeles,entire_home,309.56,4.34,4.66,4.14,17,strict,1
