booking_id,guest_id,host_id,listing_id,nights,days_until_checkin_at_ticket,total_booking_value,booking_status,cancelled_by
B000000,G00882,H00938,L02865,9,12,2675.3,completed,none
B000001,G01659,H00095,L00570,2,2,463.99,cancelled,guest
B000002,G03280,H00088,L01038,8,4,1895.76,completed,none
B000003,G03348,H01238,L00180,5,7,550.32,completed,none
B000004,G03456,H00039,L00952,5,28,1499.65,completed,none
B000005,G00335,H01393,L00843,3,1,384.28,completed,none
B000006,G02326,H00668,L02413,3,10,586.52,completed,none
B000007,G01574,H00001,L00969,7,39,2520.33,active,none
B000008,G03120,H00592,L01718,2,29,928.29,completed,none
B000009,G03564,H00060,L00887,2,-1,354.76,completed,none
B000010,G01154,H01155,L02380,2,30,277.93,completed,none
B000011,G01419,H00100,L01133,9,43,2033.23,completed,none
B000012,G01948,H01210,L02577,7,42,1382.45,cancelled,guest
B000013,G01096,H00775,L00353,1,4,460.62,completed,none
B000014,G00730,H01457,L00307,7,15,3104.72,completed,none
B000015,G01811,H00098,L00161,8,-1,873.53,completed,none
B000016,G02239,H00139,L02452,5,35,828.77,completed,none
B000017,G02399,H01278,L02730,7,34,1418.97,completed,none
B000018,G02601,H00822,L02504,7,34,1251.1,completed,none
B000019,G01187,H01013,L00786,9,9,2584.58,completed,none
B000020,G02335,H01480,L01161,4,4,732.33,cancelled,guest
B000021,G02165,H00966,L02081,3,9,804.22,completed,none
B000022,G02477,H01495,L01229,1,11,171.15,completed,none
B000023,G00818,H00797,L02611,8,21,2838.28,cancelled,host
B000024,G02795,H00767,L02029,4,30,256.42,completed,none
B000025,G01056,H00000,L01471,9,7,1788.93,cancelled,guest
B000026,G00718,H01081,L02311,8,43,751.64,completed,none
B000027,G00697,H01352,L02788,3,3,305.49,cancelled,host
B000028,G02311,H00028,L02464,6,25,793.47,completed,none
B000029,G03189,H00686,L01121,2,-2,375.62,completed,none
B000030,G00067,H00278,L00143,8,35,2867.89,completed,none
B000031,G02547,H00192,L01983,4,37,747.35,completed,none
B000032,G01464,H00572,L01382,5,35,914.13,completed,none
B000033,G03373,H01295,L02586,9,0,1798.72,completed,none
B000034,G03559,H01086,L02784,4,26,2517.21,cancelled,guest
B000035,G00054,H00675,L00586,8,35,1340.88,completed,none
B000036,G03487,H01382,L00906,6,33,899.24,completed,none
B000037,G03346,H00136,L00405,5,3,737.63,completed,none
B000038,G03577,H01201,L00589,7,1,703.92,completed,none
B000039,G03929,H00441,L02433,2,39,431.57,completed,none
B000040,G01671,H00828,L02401,1,12,172.95,completed,none
B000041,G02937,H01024,L02058,5,43,1766.83,completed,none
B000042,G00164,H01222,L02871,5,24,1557.57,completed,none
B000043,G00892,H00952,L00236,4,9,1936.04,cancelled,guest
B000044,G01337,H00540,L02778,9,23,2530.45,completed,none
B000045,G03108,H01343,L02257,5,24,1439.36,completed,none
B000046,G03411,H00714,L00991,2,13,323.91,completed,none
B000047,G01181,H00513,L02882,2,34,476.31,completed,none
B000048,G01675,H01466,L00951,2,11,585.66,completed,none
B000049,G01377,H00714,L02161,9,29,3617.52,completed,none
B000050,G00861,H00577,L02518,7,42,1275.27,active,none
B000051,G03129,H00219,L02943,9,41,3257.42,completed,none
B000052,G02903,H00058,L02503,3,17,529.38,completed,none
B000053,G00533,H01111,L02861,2,10,525.48,completed,none
B000054,G02796,H00355,L02633,9,44,922.94,active,none
B000055,G01485,H00143,L01947,1,34,206.45,completed,none
B000056,G00918,H01331,L01047,3,34,927.97,active,none
B000057,G01089,H00003,L02807,8,32,652.06,completed,none
B000058,G01904,H00710,L01239,6,36,1286.66,active,none
B000059,G03891,H00063,L00919,1,8,295.14,completed,none
B000060,G00570,H00371,L02598,2,44,207.33,completed,none
B000061,G01613,H01219,L00101,9,2,1368.9,active,none
B000062,G01131,H00721,L02286,7,6,1152.2,completed,none
B000063,G02791,H00945,L01355,2,3,267.64,completed,none
B000064,G01471,H01400,L00248,4,38,2820.53,completed,none
B000065,G02463,H00148,L01041,6,44,742.83,completed,none
B000066,G02257,H00074,L02533,5,27,1258.91,completed,none
B000067,G01642,H00335,L00912,1,26,259.95,completed,none
B000068,G02776,H00955,L02904,7,20,1568.73,completed,none
B000069,G02029,H01141,L01395,1,23,107.63,completed,none
B000070,G01781,H00155,L00584,7,19,1233.88,completed,none
B000071,G00472,H01293,L01640,3,18,362.08,completed,none
B000072,G00249,H00979,L01205,4,3,369.22,completed,none
B000073,G00753,H00376,L02645,6,20,837.74,completed,none
B000074,G00112,H00235,L01719,8,19,495.47,completed,none
B000075,G00494,H00680,L01638,8,15,1215.28,active,none
B000076,G02864,H00473,L00540,2,43,297.67,completed,none
B000077,G01089,H01241,L01916,2,36,111.52,completed,none
B000078,G03075,H00253,L01009,2,15,333.06,completed,none
B000079,G02311,H01323,L01675,7,27,773.25,completed,none
B000080,G02112,H01032,L01679,2,30,770.57,completed,none
B000081,G02042,H01306,L02534,1,3,136.13,completed,none
B000082,G01160,H00013,L01196,5,16,613.26,completed,none
B000083,G00876,H00367,L02964,5,9,881.94,cancelled,guest
