ticket_id,booking_id,issue_category,contact_channel,priority_initial
T000000,B000000,payment_problem,email,high
T000001,B000001,policy_question,chat,medium
T000002,B000002,refund_request,chat,medium
T000003,B000003,refund_request,phone,low
T000004,B000004,policy_question,chat,low
T000005,B000005,host_cancellation,chat,high
T000006,B000006,policy_question,chat,high
T000007,B000007,refund_request,self_serve,high
T000008,B000008,listing_not_as_described,chat,low
T000009,B000009,host_cancellation,phone,medium
T000010,B000010,checkin_problem,phone,low
T000011,B000011,listing_not_as_described,email,low
T000012,B000012,host_cancellation,chat,medium
T000013,B000013,payment_problem,email,low
T000014,B000014,policy_question,email,low
T000015,B000015,host_cancellation,phone,low
T000016,B000016,checkin_problem,email,medium
T000017,B000017,checkin_problem,chat,medium
T000018,B000018,refund_request,phone,medium
T000019,B000019,payment_problem,self_serve,medium
T000020,B000020,refund_request,email,high
T000021,B000021,listing_not_as_described,chat,low
T000022,B000022,listing_not_as_described,chat,low
T000023,B000023,refund_request,phone,low
T000024,B000024,host_cancellation,chat,low
T000025,B000025,safety_issue,self_serve,low
T000026,B000026,checkin_problem,chat,low
T000027,B000027,refund_request,chat,medium
T000028,B000028,policy_question,chat,low
T000029,B000029,policy_question,chat,low
T000030,B000030,refund_request,chat,medium
T000031,B000031,host_cancellation,phone,medium
T000032,B000032,policy_question,phone,low
T000033,B000033,refund_request,self_serve,medium
T000034,B000034,payment_problem,self_serve,high
T000035,B000035,checkin_problem,chat,high
T000036,B000036,payment_problem,phone,low
T000037,B000037,policy_question,chat,medium
T000038,B000038,policy_question,chat,medium
T000039,B000039,refund_request,email,low
T000040,B000040,refund_request,chat,low
T000041,B000041,host_cancellation,email,medium
T000042,B000042,refund_request,email,low
T000043,B000043,host_cancellation,chat,low
T000044,B000044,policy_question,chat,medium
T000045,B000045,listing_not_as_described,chat,low
T000046,B000046,refund_request,email,low
T000047,B000047,host_cancellation,email,medium
T000048,B000048,host_cancellation,chat,low
T000049,B000049,payment_problem,phone,medium
T000050,B000050,checkin_problem,phone,low
T000051,B000051,refund_request,phone,low
T000052,B000052,host_cancellation,chat,low
T000053,B000053,refund_request,chat,low
T000054,B000054,checkin_problem,chat,medium
T000055,B000055,host_cancellation,chat,low
T000056,B000056,payment_problem,chat,high
T000057,B000057,host_cancellation,chat,medium
T000058,B000058,checkin_problem,email,medium
T000059,B000059,policy_question,chat,medium
T000060,B000060,policy_question,email,high
T000061,B000061,checkin_problem,email,medium
T000062,B000062,listing_not_as_described,chat,medium
T000063,B000063,safety_issue,phone,medium
