ticket_id,booking_id,issue_category,contact_channel,priority_initial,guest_id,host_id,listing_id,nights,days_until_checkin_at_ticket,total_booking_value,booking_status,cancelled_by,guest_account_age_days,guest_past_bookings_count,guest_past_support_tickets_12m,guest_past_refund_requests_12m,guest_lifetime_booking_value,guest_id_verified,host_superhost,host_response_rate,host_cancellation_rate_12m,host_avg_response_time_minutes,host_past_guest_complaints_12m,host_avg_rating,market,property_type,nightly_price,listing_review_score,listing_cleanliness_score,listing_accuracy_score,listing_review_count,cancellation_policy,instant_book_enabled,same_week_checkin_flag,strict_policy_flag,host_cancelled_booking_flag,high_value_booking_flag,sentiment_score,urgency_score,time_to_first_agent_response_minutes,message_count_first_30min,senior_agent_routing,rebooking_coupon_offered,repeat_contact_probability,repeat_contact_7d,escalation_probability,escalated,resolution_hours,csat_score,poor_csat,long_resolution
T000000,B000000,payment_problem,email,high,G00882,H00938,L02865,9,12,2675.3,completed,none,2262,6,2,0,4094.59,1,0,0.88,0.067,243.6,1,4.42,Miami,private_room,270.27,4.4,4.25,4.33,9,flexible,1,0,0,0,1,-0.166,0.325,18.8,4,1,0,0.088,0,0.089,0,4.98,5,0,0
T000001,B000001,policy_question,chat,medium,G01659,H00095,L00570,2,2,463.99,cancelled,guest,1705,6,2,0,2303.32,0,1,0.893,0.058,111.4,0,4.41,Nashville,private_room,184.47,5.0,4.02,4.73,11,moderate,0,1,0,0,0,0.005,0.468,12.1,7,1,0,0.223,0,0.114,0,4.8,5,0,0
T000002,B000002,refund_request,chat,medium,G03280,H00088,L01038,8,4,1895.76,completed,none,1791,6,2,0,2077.05,1,1,0.773,0.001,24.3,4,4.84,Nashville,entire_home,204.75,5.0,4.38,3.71,19,flexible,1,1,0,0,1,-0.018,0.673,12.0,2,1,0,0.265,0,0.122,0,13.65,5,0,0
T000003,B000003,refund_request,phone,low,G03348,H01238,L00180,5,7,550.32,completed,none,142,3,0,0,1707.47,1,0,0.732,0.084,32.3,2,4.73,Los Angeles,entire_home,95.74,4.6,4.74,4.41,22,flexible,1,1,0,0,0,0.506,0.642,20.8,4,0,1,0.492,1,0.328,0,22.14,4,0,0
T000004,B000004,policy_question,chat,low,G03456,H00039,L00952,5,28,1499.65,completed,none,2283,2,2,1,690.63,1,0,0.634,0.108,104.2,2,4.22,Seattle,entire_home,289.82,4.66,5.0,4.56,9,flexible,0,0,0,0,0,-0.023,0.426,25.5,2,0,0,0.338,0,0.139,0,2.02,4,0,0
T000005,B000005,host_cancellation,chat,high,G00335,H01393,L00843,3,1,384.28,completed,none,1505,5,2,1,4540.5,1,0,0.73,0.065,82.9,4,4.47,Los Angeles,entire_home,126.12,4.17,4.72,4.11,21,moderate,0,1,0,0,0,-0.015,0.511,5.3,1,1,0,0.557,0,0.2,1,19.31,3,0,0
T000006,B000006,policy_question,chat,high,G02326,H00668,L02413,3,10,586.52,completed,none,956,5,4,1,2564.16,1,0,0.875,0.042,79.6,1,4.88,Boston,private_room,178.13,4.67,4.3,4.91,15,flexible,0,0,0,0,0,0.373,0.547,4.2,2,1,0,0.242,0,0.118,0,6.03,5,0,0
T000007,B000007,refund_request,self_serve,high,G01574,H00001,L00969,7,39,2520.33,active,none,885,8,1,0,1048.26,0,1,0.691,0.055,96.1,1,4.81,Austin,entire_home,338.69,5.0,4.28,4.66,5,moderate,1,0,0,0,1,-0.531,0.423,8.5,2,0,0,0.518,0,0.188,0,5.51,5,0,0
T000008,B000008,listing_not_as_described,chat,low,G03120,H00592,L01718,2,29,928.29,completed,none,1419,4,0,0,1030.48,1,0,0.841,0.065,129.4,0,4.96,Miami,entire_home,398.71,4.72,4.84,4.92,0,flexible,1,0,0,0,0,0.162,0.411,70.1,1,0,0,0.211,0,0.111,0,9.4,5,0,0
T000009,B000009,host_cancellation,phone,medium,G03564,H00060,L00887,2,-1,354.76,completed,none,2353,6,1,0,2115.8,1,0,0.532,0.047,117.5,1,4.43,Boston,hotel_room,147.99,4.4,4.51,4.02,7,strict,0,1,1,0,0,-1.0,0.84,51.8,5,0,1,0.801,0,0.289,0,3.69,4,0,0
